Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
"2020-01-01","Uttar Pradesh","9","Mainpuri","166","2566.83","3735.51","2430.78","3535.6"
"2018-05-01","Bihar","10","Saran","218","8862.07","5908.05","8702.47","5801.71"
"2019-09-01","Telangana","36","Nagarkurnool","694","2564.95","0.0","2133.08","0.0"
"2020-12-01","Maharashtra","27","Gondia","476","3996.88","2140.21","3857.57","2062.83"
"2019-08-01","Chhattisgarh","22","Mahasamund","385","5360.44","0.0","5275.5","0.0"
"2019-10-01","Telangana","36","Medchal Malkajgiri","700","5641.6","0.0","5807.21","0.0"
"2019-09-01","Andhra Pradesh","28","Y.S.R.","504","22.28","0.0","22.01","0.0"
"2018-08-01","Karnataka","29","Tumakuru","548","26578.1","0.0","10756.5","0.0"
"2018-10-01","Rajasthan","8","Udaipur","117","0.0","12618.91","0.0","11844.27"
"2019-07-01","Telangana","36","Adilabad","501","2425.3","0.0","2344.31","0.0"
"2018-11-01","Assam","18","Cachar","282","7442.82","519.0","7442.82","519.0"
"2018-11-01","Madhya Pradesh","23","Shajapur","430","725.05","3027.31","608.41","2550.61"
"2020-11-01","Gujarat","24","Mahisagar","669","1121.36","2646.97","1090.11","2570.83"
"2018-10-01","Uttar Pradesh","9","Lucknow","162","5753.3","8504.67","5298.01","7823.64"
"2018-11-01","Uttar Pradesh","9","Kaushambi","158","2790.55","4091.89","2685.08","3933.76"
"2018-02-01","Assam","18","Dhemaji","284","3090.0","0.0","3090.0","0.0"
"2019-04-01","Bihar","10","Muzaffarpur","208","12614.43","8409.62","12360.08","8240.05"
"2018-11-01","Maharashtra","27","Akola","467","2203.04","9618.98","1133.96","4939.2"
"2018-04-01","Maharashtra","27","Ahmadnagar","466","20255.64","29017.62","5146.57","7256.0"
"2018-05-01","Telangana","36","Jangoan","689","2161.94","0.0","1794.87","0.0"
"2020-09-01","Rajasthan","8","Karauli","108","0.0","5049.92","0.0","4912.36"
"2021-09-01","Uttar Pradesh","9","Aligarh","119","5635.24","8391.37","5383.05","8016.68"
"2020-04-01","Assam","18","Jorhat","290","4876.47","0.0","4876.47","0.0"
"2020-11-01","Chhattisgarh","22","Mahasamund","385","5259.79","0.0","5224.77","0.0"
"2018-06-01","Chhattisgarh","22","Balod","646","3705.09","0.0","3669.41","0.0"
"2020-09-01","Odisha","21","Puri","369","5691.43","1285.44","5637.76","1267.74"
"2018-09-01","Haryana","6","Faridabad","60","0.0","2644.62","0.0","2873.77"
"2021-11-01","Karnataka","29","Vijayapura","530","8121.42","0.0","7496.85","0.0"
"2017-12-01","Andhra Pradesh","28","Anantapur","502","13427.85","0.0","12383.43","0.0"
"2019-08-01","Uttar Pradesh","9","Ghaziabad","145","2964.61","4425.66","2695.73","4022.45"
"2018-11-01","Uttar Pradesh","9","Fatehpur","142","4033.33","5958.03","3696.71","5454.69"
"2018-06-01","Manipur","14","Kangpokpi","712","716.24","0.0","716.24","0.0"
"2020-12-01","Karnataka","29","Dakshina Kannada","534","11206.14","503.45","5357.67","0.0"
"2019-08-01","Uttar Pradesh","9","Kaushambi","158","2778.77","4074.22","2654.26","3887.89"
"2018-09-01","Meghalaya","17","South West Garo Hills","663","645.71","0.0","645.71","0.0"
"2019-12-01","Bihar","10","Sitamarhi","221","18514.1","12341.64","9385.09","6256.73"
